,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
8,,19/06/2022,South Africa,M Chinnaswamy Stadium,-,0,,,6,28.33,,3,,,,25 years 188 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
9,,26/06/2022,Ireland,The Village,-,0,,1/22,7,27.43,,3,,,,25 years 195 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
10,1,10/07/2022,England,Trent Bridge,1*,1,,1/43,8,29.38,,3,,,,25 years 209 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
11,2,01/08/2022,West Indies,Warner Park,8,9,9.00,1/31,9,29.56,,3,,,,25 years 231 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
12,,02/08/2022,West Indies,Warner Park,-,9,9.00,0/47,9,34.78,,3,,,,25 years 232 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
13,,06/08/2022,West Indies,Central Broward Regional Park,-,9,9.00,2/17,11,30.00,1,4,,,,25 years 236 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
14,3,07/08/2022,West Indies,Central Broward Regional Park,1*,10,10.00,0/20,11,31.82,,4,,,,25 years 237 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
15,,28/08/2022,Pakistan,Dubai International Cricket Stadium,-,10,10.00,1/19,12,30.75,1,5,,,,25 years 258 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
16,,31/08/2022,Hong Kong,Dubai International Cricket Stadium,-,10,10.00,1/53,13,32.46,2,7,,,,25 years 261 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
1,Innings,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
2,,26/01/2016,Australia,Adelaide Oval,-,0,,3/23,3,7.67,,0,,,,22 years 51 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
3,,29/01/2016,Australia,Melbourne Cricket Ground,-,0,,2/37,5,12.00,,0,,,,22 years 54 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
4,,31/01/2016,Australia,Sydney Cricket Ground,-,0,,1/43,6,17.17,,0,,,,22 years 56 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
5,1,09/02/2016,Sri Lanka,Maharashtra Cricket Association Stadium,0,0,0.00,0/19,6,20.33,,0,,,,22 years 65 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
6,,12/02/2016,Sri Lanka,JSCA International Stadium Complex,-,0,0.00,2/17,8,17.38,,0,,,,22 years 68 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
7,,14/02/2016,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,-,0,0.00,1/10,9,16.56,,0,,,,22 years 70 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
8,,24/02/2016,Bangladesh,Shere Bangla National Stadium,-,0,0.00,1/23,10,17.20,,0,,,,22 years 80 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
9,,27/02/2016,Pakistan,Shere Bangla National Stadium,-,0,0.00,1/8,11,16.36,,0,,,,22 years 83 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
10,,01/03/2016,Sri Lanka,Shere Bangla National Stadium,-,0,0.00,2/27,13,15.92,,0,,,,22 years 86 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
11,,03/03/2016,United Arab Emirates,Shere Bangla National Stadium,-,0,0.00,1/23,14,16.43,,0,,,,22 years 88 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
12,,06/03/2016,Bangladesh,Shere Bangla National Stadium,-,0,0.00,1/13,15,16.20,1,1,,,,22 years 91 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
13,2,15/03/2016,New Zealand,Vidarbha Cricket Association Stadium,0*,0,0.00,1/15,16,16.13,,1,,,,22 years 100 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
14,,19/03/2016,Pakistan,Eden Gardens,-,0,0.00,1/32,17,17.06,,1,,,,22 years 104 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
15,,23/03/2016,Bangladesh,M Chinnaswamy Stadium,-,0,0.00,0/32,17,18.94,,1,,,,22 years 108 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
16,,27/03/2016,Australia,Punjab Cricket Association IS Bindra Stadium,-,0,0.00,1/32,18,19.67,,1,,,,22 years 112 days,"Jasprit Bumrah
            - T20 Internationals - Progressive Averages and Aggregates Summary"
