,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
77,,26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,-,556,17.38,1/50,98,34.41,1,20,,,,27 years 162 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
78,45,28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,18,574,17.39,2/42,100,34.14,1,21,,,,27 years 164 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
79,46,01/03/2014,Pakistan,Shere Bangla National Stadium,9,583,17.15,3/44,103,33.57,1,22,,,,27 years 165 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
80,,05/03/2014,Afghanistan,Shere Bangla National Stadium,-,583,17.15,3/31,106,32.92,,22,,,,27 years 169 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
81,47,27/08/2014,England,Sophia Gardens,10*,593,17.44,2/38,108,32.66,1,23,,,,27 years 344 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
82,,30/08/2014,England,Trent Bridge,-,593,17.44,3/39,111,32.13,,23,,,,27 years 347 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
83,,02/09/2014,England,Edgbaston,-,593,17.44,1/48,112,32.27,,23,,,,27 years 350 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
84,48,05/09/2014,England,Headingley,16,609,17.40,1/49,113,32.42,1,24,,,,27 years 353 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
85,,02/11/2014,Sri Lanka,Barabati Stadium,-,609,17.40,1/52,114,32.59,,24,,,,28 years 46 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
86,,06/11/2014,Sri Lanka,Narendra Modi Stadium,-,609,17.40,2/49,116,32.45,,24,,,,28 years 50 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
87,,09/11/2014,Sri Lanka,Rajiv Gandhi International Stadium,-,609,17.40,1/43,117,32.54,1,25,,,,28 years 53 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
88,49,16/11/2014,Sri Lanka,JSCA International Stadium Complex,0,609,16.92,2/56,119,32.46,,25,,,,28 years 60 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
89,50,18/01/2015,Australia,Melbourne Cricket Ground,14*,623,17.31,1/54,120,32.64,1,26,,,,28 years 123 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
90,51,15/02/2015,Pakistan,Adelaide Oval,1*,624,17.33,1/41,121,32.71,,26,,,,28 years 151 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
91,52,22/02/2015,South Africa,Melbourne Cricket Ground,5*,629,17.47,3/41,124,32.25,,26,,,,28 years 158 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
92,,28/02/2015,United Arab Emirates,WACA Ground,-,629,17.47,4/25,128,31.44,,26,,,,28 years 164 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
93,53,06/03/2015,West Indies,WACA Ground,16*,645,17.92,1/38,129,31.49,,26,,,,28 years 170 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
94,,10/03/2015,Ireland,Seddon Park,-,645,17.92,2/38,131,31.30,,26,,,,28 years 174 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
95,,14/03/2015,Zimbabwe,Eden Park,-,645,17.92,1/75,132,31.63,1,27,,,,28 years 178 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
96,54,19/03/2015,Bangladesh,Melbourne Cricket Ground,3*,648,18.00,0/30,132,31.86,2,29,,,,28 years 183 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
97,55,26/03/2015,Australia,Sydney Cricket Ground,5,653,17.65,1/42,133,31.93,,29,,,,28 years 190 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
98,56,18/06/2015,Bangladesh,Shere Bangla National Stadium,0,653,17.18,3/51,136,31.60,,29,,,,28 years 274 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
